id_product,name ,Fabricant,quatity_masse,quantity_vol,Score Danger,description,cas_number,État physique,cid_number,phase_risque,Classif. SGH,ICPE,pH,Temp_ébullition,pression_vapeur,code_tunnel
I0478,mesityl iodide,TCI,"0,025",,,,4028-63-1,Liquide,,,,Non soumis,,250 °C,,
X0057,"1,2-benzenedimethanol",TCI,"0,025",,,,612-14-6,Liquide,,,,Non soumis,,145 °C,,
20661260,Acide Sebacique,Prolabo,"0,5",,,,111-20-6,Solide,,,,Non soumis,,374 °C,130 Pa,
B2083,Diethyl(5-bromopentyle)malonate,TCI,"0,005",,,,1906-95-2,Liquide,,,,Non soumis,,161 °C,,
B2405,"4,4'-bicyclohexanone",TCI,"0,025",,,,23391-99-3,Solide,,,,Non soumis,,,,
H27340,"9,9-dimethylxanthene",Alfa Aesar,"0,005",,0,,"19814-75-6, 19814-75-6",Solide,,,,Non soumis,,115 °C,,
B0954,4-(n-butylamino)-1-butanol,TCI,,"0,025",,,4543-95-7,Liquide,,,,Non soumis,,132 °C,,
A15364,4-methoxybenzaldehyde,Alfa Aesar,"0,025",,0,,123-11-5,Liquide,H412,,Aquatic chronic Chronic 3,Non soumis,7,"478,4 °C","1,5 mbar à 74,7 °C",
H18607,2'-hydroxyacetophenone,Aldrich,"0,1",,0,,118-93-4,Liquide,,,,Non soumis,,213 °C,"0,2 mmHg à 20 °C",
H1180-7,"1,6-hexanediol",Aldrich,"0,025",,0,,629-11-8,Liquide,,,,Non soumis,"5,7",250 °C,1 Pa à 20 °C,
E0154,4-ethylnitrobenzene,TCI,"0,025",,,,100-12-9,Liquide,,,,Non soumis,,242 °C,,
L04904,"3,5-diphenyl-1H-pyrazole",Alfa Aesar,"0,005",,0,,"1145-01-3, 1145-01-3",Solide,,,,Non soumis,,,,
B22483,1-acetylpyrene,Alfa Aesar,"0,0075",,0,,"3264-21-9, 3264-21-9",Solide,,,,Non soumis,,,,
125334,Crotyl Chloride ,Sigma Aldrich,"0,5",,,,591-97-9,Liquide,,,,Non soumis,3,,,
15306," 4-Mercapto-1H-pyrazolo[3,4-d]pyrimidine",Aldrich,"0,002",,0,,"658-48-0, 658-48-0",Solide,,,,Non soumis,,,,
77053,4-pentyn-1-ol ,Fluka,,"0,025",,,5390-04-5,Liquide,,,,Non soumis,,,,
J7081B,DL-2-phenylglycine,Alfa Aesar,"0,1",,,,2835-06-5,Solide,,,,Non soumis,,,,
2036289,(-)-myrtenal,Janssen,"0,05",,,,18486-69-6,Liquide,,R20,,Non soumis,,220 °C,,
78918,"S-(-)-1-phenyl-1,3-propanediol",Fluka,"0,0005",,0,,"96854-34-1, 96854-34-1",Liquide,,,,Non soumis,,,,
78917,"R(+)-1-Phenyl-1,3-propanediol",Fluka,"0,00025",,0,,"103548-16-9, 103548-16-9",Solide,,,,Non soumis,,,,
62850,L-lysine 50% in water,Fluka,,"0,4",0,,,Liquide,,,,Non soumis,,,,
43998,"dimethyl sulfoxide, anhydrous",Alfa Aesar,,"0,2",0,,67-68-5,Liquide,H227,,Flam. Liq. 4,Non soumis,,189 °C,"0,55 mbar à 20 °C",
"142659,1611",oleic acid,Panreac,,1,111,,112-80-1,Liquide,H315 H335,,"Skin Irrit. 2, STOT SE 3",Non soumis,,360 °C,,
295469,2-methylpropene,Sigma Aldrich,"0,1",,0,,115-11-7,Gazeux,H220 H280,,"Flam. Gas 1A, Press. Gas liq","4718,2",,,"3,278 mmHg à 37,7 °C",B/D
295051,1-butene,Sigma Aldrich,"0,1",,0,,106-98-9,Gazeux,H220 H280,,"Flam. Gas 1A, Press. Gas liq","4718,2",,,"3,26 mmHg à 37,7 °C",B/D
A13383,methanesulfonyl chloride ,Alfa Aesar,"0,6",,1300,,124-63-0,Liquide,H290 H301 H311 H314 H317 H318 H330 H335,,"Met. Corr. 1, Acute Tox. 1 (Inhal.), Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Skin Corr. 1B, Eye Dam. 1, Skin Sens. 1, STOT SE 3","4110,2",,161 °C,"2,6 mbar à 20 °C",C/D
A78403,4-aminopyridine ,Aldrich,"0,2",,1000,,504-24-5,Solide,H300,,Acute Tox. 2 (Oral),"4120,1",,,,D/E
453064,"2-bromo-N,N-diethylethylamine hydrobromide",Aldrich,"0,1",,1210,,1069-72-3,Solide,H300 H315 H318 H335 H336,,"Acute Tox. 2 (Oral), Skin Irrit. 2, Eye Dam. 1, STOT SE 3, STOT SE 3","4120,1",,,,E
H280-5,1-heptanol,Aldrich,"0,25",,1,,111-70-6,Liquide,H319,,Eye Irrit. 2,Non soumis,,176 °C,70 Pa à 20 °C,
D1599,"N,N-diisopropylethylamine",TCI,,"0,025",110,,7087-68-5,Liquide,H225 H302 H314 H412,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Skin Corr. 1B, Aquatic chronic Chronic 3",,,127 °C,41 hPa,
S0030,Sebacoyl chloride,TCI,,"0,025",1010,,111-19-3,Liquide,H290 H302 H310 H314,,"Met. Corr. 1, Acute Tox. 2 (Derm.), Acute Tox. 4 (Oral), Skin Corr. 1B","4120,2",,167 °C,,
249459,4-propylbenzoyl chloride,Aldrich,"0,001",,210,,52710-27-7,Liquide,H314 H318 H335,,"Skin Corr. 1B, Eye Dam. 1, STOT SE 3",Non soumis,,,,E
D2955,diamyl sulfate,TCI,"0,005",,120,,5867-98-1,Liquide,H302 H312 H314 H332,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Corr. 1C",Non soumis,,117 °C,,
O0298,"4,4'-oxybis(benzenesulfonylchloride)",TCI,"0,025",,100,,121-63-1,Solide,H290 H314,,"Met. Corr. 1, Skin Corr. 1C",Non soumis,,,,
B1327,"9,10-BIS(CHLOROMETHYL)ANTHRACENE",TCI,"0,005",,120,,10387-13-0,Solide,H290 H302 H312 H314 H332,,"Met. Corr. 1, Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Corr. 1",Non soumis,,,,
P1223,Tetrabenzyl pyrophosphate,TCI,"0,001",,100,,990-91-0,Solide,H290 H314,,"Met. Corr. 1, Skin Corr. 1",Non soumis,,,,
20090-5,Magnesium Turning,Aldrich,"0,6",,0,,7439-95-4,Solide,H228 H251 H261,,"Flam. Sol. 1, Self-heat. 1, Water-react. 2",1450,,,1 mmHg à 621 °C,E
M1669,ethanedisulfonyl dichloride ,TCI,"0,005",,100,,5799-68-8,Liquide,H290 H314,,"Met. Corr. 1, Skin Corr. 1",Non soumis,,138 °C,,
"362062,1611",N-Heptane,Panreac,,1,211,,142-82-5,Liquide,H225 H304 H315 H336 H400 H410,,"Flam. Liq. 2, Skin Irrit. 2, STOT SE 3, Asp. Tox. 1, Aquatic acute Acute 1, Aquatic chronic Chronic 1",,,98 °C,48 hPa,D/E
404875,tetrakis(hydroxymethyl)phosphonium chloride,Aldrich,,"0,1",300,,124-64-1,Liquide,H301 H311 H315 H318 H334 H401 H411,R19,"Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Skin Irrit. 2, Eye Dam. 1, Resp. Sens. 1, Aquatic acute Acute 2, Aquatic chronic Chronic 2",4511,"3,5",,,
367120010,"N-(alpha,alpha,alpha-trifluoro-p-tolyl)piperazine",Acros Organics,"0,001",,100,,30459-17-7,Liquide,H314 H318,R36,"Skin Corr. 1C, Eye Dam. 1",Non soumis,,,,
277772500,cis-2-amino-1-cyclohexanecarboxamide,Acros Organics,"0,001",,120,,115014-77-2,Solide,H302 H312 H314 H318 H332,R27,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Corr. 1B, Eye Dam. 1",Non soumis,,,,
406030050,"1,4-cyclohexanebis(methylamine), mixture cis and trans",Acros Organics,,"0,02",110,,2549-93-1,Liquide,H302 H312 H314 H318,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Skin Corr. 1B, Eye Dam. 1",Non soumis,,240 °C,,
,"1,2-dibromopropane",Acros Organics,"0,01",,,,78-75-1,Liquide,,,,Non soumis,,140 °C,,
134889,"2,4-dimethylimidazole",Enamine,"0,005",,100,,930-62-1,Solide,H314 H318,,"Skin Corr. 1B, Eye Dam. 1",Non soumis,,266 °C,,
135020050,1-(4-chlorophenyl)-1-cyclopentanecarbonyl chloride,Acros Organics,"0,005",,100,,71501-44-5,Solide,H314,R34,Skin Corr. 1B,Non soumis,,290 °C,,
452920,Trimethyl Borate,Aldrich,,"0,1",5000,,121-43-7,Liquide,H225 H301 H311 H319 H331 H360FD H370,,"Flam. Liq. 2, Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), Eye Irrit. 2, Repr. 1B, STOT SE 1",4150,,68 °C,148 hPa à 20 °C,D/E
192280010,poly(ethylene glycol),Acros Organics,1,,,,25322-68-3,Solide,,R19,,Non soumis,5,,"0,01 mmHg à 20 °C",
IM0404B50,1-Butyl-3-Methylimidazolium Hexafluorophosphate,Solvionic,"0,05",,1,,174501-64-5,Liquide,H315 H319,,"Skin Irrit. 2, Eye Irrit. 2",Non soumis,,,,
259969-5G,2-Bromophenylacetonitrile,Sigma Aldrich,"0,005",,130,,19472-74-3,Liquide,H302 H312 H315 H319 H332 H335 H336,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3, STOT SE 3",Non soumis,,,,
A15843,4-bromotoluene,VWR,"0,1",,111,,106-38-7,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2, STOT SE 3",Non soumis,,184 °C,150 Pa à 25 °C,
BD119387,"4,10-Dibromonaphtho[7,8,1,2,3-nopqr]tetraphene-6,12-dione",BLD Pharmatech,"0,025",,121,,4378-61-4,Solide,H302 H315 H319 H332 H335,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
BD01376708-25g,2-Naphthol (Flakes or Chunks),BLD Pharmatech,"0,025",,121,,135-19-3,Solide,H302 H315 H319 H335,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
L19118,(S)-(-)-1-Phenylethylamine,Alfa Aesar,"0,025",,110,,2627-86-3,Solide,H302 H312 H314 H318,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Skin Corr. 1B, Eye Dam. 1",Non soumis,12,187 °C,,
L19117,(R)-(+)-1-Phenylethylamine,Alfa Aesar,"0,025",,110,,3886-69-9,Solide,H302 H312 H314 H318,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Skin Corr. 1B, Eye Dam. 1",Non soumis,7,184 °C,400 Pa à 20 °C,
BD212152,Methyl 2-bromo-4-chlorobenzoate,BLD Pharmatech,"0,025",,111,,57381-62-1,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
BD567150,Methyl 4-bromo-2-iodobenzoate,BLD Pharmatech,"0,025",,121,,1093418-75-7,Solide,H302 H315 H319 H335,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
A16752,8-Aminoquinoline,Alfa Aesar,"0,005",,1,,578-66-5,Solide,H315 H319,,"Skin Irrit. 2, Eye Irrit. 2",Non soumis,,,,
M29304,N-Methylaniline,Sigma Aldrich,"0,025",,400,,100-61-8,Liquide,H301 H311 H319 H331 H373 H400 H410,,"Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), Eye Irrit. 2A, STOT RE 2, Aquatic acute Acute 1, Aquatic chronic Chronic 1","4130,2",,,,
10854,"4-Bromo-N,N-dimethylaniline",Avocado,"0,025",,30,,586-77-6,Solide,H302 H312 H315 H319 H332,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2",Non soumis,,,,
257354,1-pyrenebutyric acid,Sigma Aldrich,"0,001",,111,,3443-45-6,ND,H315 H319 H335 H336,,"Skin Irrit. 2, Eye Irrit. 2, STOT SE 3, STOT SE 3",Non soumis,,,,
A0045,Vinyl acetate monomer (stabilize with HQ),TCI,,"0,5",230,,108-05-4,Liquide,H225 H319 H332 H335 H351 H373,,"Flam. Liq. 2, Acute Tox. 4 (Inhal.), Eye Irrit. 2, Carc. 2, STOT SE 3, STOT RE 2",,,72 °C,,D/E
M0079,Methacrylic Acid (stabilized with MEHQ),TCI,"0,5",,1300,,79-41-4,Liquide,H290 H302 H311 H314 H332 H335 H372,,"Met. Corr. 1, Acute Tox. 3 (Derm.), Acute Tox. 4 (Oral), Acute Tox. 4 (Inhal.), Skin Corr. 1, STOT SE 3, STOT RE 1",Non soumis,,160 °C,,E
D0939,"N,N-Dimethylformamide",TCI,,"0,5",5000,,68-12-2,Liquide,H226 H302 H312 H319 H331 H341 H360D H370 H372,,"Flam. Liq. 3, Acute Tox. 3 (Inhal.), Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Eye Irrit. 2, Muta. 2, Repr. 1B, STOT SE 1, STOT RE 1",,"6,7",153 °C,,D/E
BD1566320,9H-xanthen-9-one,BLD Pharmatech,"0,005",,101,,90-47-1,Solide,H301 H315 H319,,"Acute Tox. 3 (Oral), Skin Irrit. 2, Eye Irrit. 2A","4140,1",,,,
BD283682,6H-benzo[c]chromen-6-one,BLD Pharmatech,"0,00025",,121,,2005-10-9,Solide,H302 H315 H319 H332 H335,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
BD28953,"Ethene-1,1-diyldibenzene",BLD Pharmatech,"0,02",,121,,530-48-3,ND,H302 H315 H319 H335,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
BD22630,Boc-L-Alaninol,BLD Pharmatech,"0,025",,111,,79069-13-9,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
O0082,Oxalyl Chloride,TCI,"0,1",,200,,79-37-8,Liquide,H314 H331,,"Acute Tox. 3 (Inhal.), Skin Corr. 1B","4130,2",,64 °C,,
356954,n-pentane,Carlo Erba,,5,211,,109-66-0,Liquide,EUH066 H225 H304 H336 H411,,"Flam. Liq. 2, STOT SE 3, Asp. Tox. 1, Aquatic chronic Chronic 2",,,36 °C,,D/E
"20060,32",Acetonitrile HPLC,VWR,,5,30,,75-05-8,Liquide,H225 H302 H312 H319 H332,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Eye Irrit. 2",,,"81,6 °C",,
,Nopol 99,DRT,,"0,05",,,,Liquide,,,,,,,,
,Beta terpineol,DRT,,"0,05",121,,138-87-4,Liquide,H302 H315 H319 H335,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
,Anomadiene,DRT,,2,,,,Liquide,,,,,,,,
ET4PI,tetraethylphosphonium iodide,Clear lake,"0,15",,121,,4317-06-0,Solide,H302 H315 H319 H335,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
,α-Thuyène,DRT,"0,345",,,,,Liquide,,,,,,,,
162423,"ω,ω-Dimethoxy-ω-phenylacetophenone",Ega Chemie,"0,05",,,,91274-91-8,Solide,,,,Non soumis,,,,
,Dimethyloctadiène,DRT,,1,,,63335-88-6,Liquide,,,,Non soumis,,,,
34618,1-(4-cyanophenyl)-piperazine hydrochloride,Acros Organics,"0,001",,130,,116290-72-3,Liquide,H302 H312 H315 H319 H332 H335,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
93092,"Triphenylphosphine, &gt;= 95.0 % GC",Sigma Aldrich,1,,1300,,603-35-0,ND,H302 H317 H318 H372,,"Acute Tox. 4 (Oral), Eye Dam. 1, Skin Sens. 1B, STOT RE 1",Non soumis,,377 °C,,
BD105395,Phenanthrene-9.10-dione,BLD Pharmatech,"0,001",,,,84-11-7,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",,,,,
BD156620,9H-Xanthene,BLD Pharmatech,"0,005",,,,92-83-1,Solide,H317,,Skin Sens. 1A,,,,,
ETGL-P0P-5K0,Ethylene glycol 99%,Labkem,,"2,5",130,,107-21-1,Liquide,H302 H373,,"Acute Tox. 4 (Oral), STOT RE 2",Non soumis,,,,
8.20730.0100,iodobenzene,Merck,,"0,1",10,,591-50-4,Liquide,H302,R22,Acute Tox. 4 (Oral),,,187 °C,141 Pa,
20239-8,polyethylene glycol,Aldrich,"0,5",,0,,25322-68-3,Liquide,,,,Non soumis,,,"0,01 mmHg à 20 °C",
515124,"N,N-Dimethylaniline",Sigma Aldrich,,"0,1",400,,121-69-7,Liquide,H301 H311 H331 H351 H411,,"Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), Carc. 2, Aquatic chronic Chronic 2","4130,2","7,4",,13 hPa à 70 °C,D/E
126306,"1,3-dimethhoxybenzene",Aldrich,"0,2",,0,,151-10-0,Liquide,,,,Non soumis,,,,
T0886,Triethylamin,Sigma Aldrich,,"1,1",310,,121-44-8,Liquide,H225 H302 H311 H314 H318 H331 H335,,"Flam. Liq. 2, Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), Acute Tox. 4 (Oral), Skin Corr. 1A, Eye Dam. 1, STOT SE 3",,"12,7",,72 hPa à 20 °C,D/E
34867,1-butanol,Sigma Aldrich,,1,220,,71-36-3,Liquide,H226 H302 H315 H318 H335 H336,,"Flam. Liq. 3, Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Dam. 1, STOT SE 3, STOT SE 3",,7,116 °C,10 hPa à 20 °C,D/E
"28676,322",Toluène AnalaR NORMAPUR ACS/R.PH.EUR.,VWR,,5,320,,108-88-3,Liquide,H225 H304 H315 H336 H361d H373,,"Flam. Liq. 2, Skin Irrit. 2, Repr. 2, STOT SE 3, STOT RE 2, Asp. Tox. 1",,,"110,6 °C",29 hPa,D/E
28737232,"trichloro-1,1,1-ethane",Prolabo,,"0,5",10,,71-55-6,Liquide,H332 H420,R20 R59,"Acute Tox. 4 (Inhal.), Ozone 1",,,74 °C,133 hPa,
D93856,"DIETHYLENETRIAMINE, REAGENTPLUS, 99%",Sigma Aldrich,,"0,25",1210,,111-40-0,Liquide,H302 H312 H314 H317 H330 H335,,"Acute Tox. 2 (Inhal.), Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Skin Corr. 1B, Skin Sens. 1, STOT SE 3","4120,2",,199 °C,20 Pa à 20 °C,E
"23373,32",Dichloromethane,VWR,,15,500,,75-09-2,Liquide,H315 H319 H336 H351,,"Skin Irrit. 2, Eye Irrit. 2A, Carc. 2, STOT SE 3",,7,"39,8 °C",475 hPa,E
139009-25g,"1,8-Diazabicyclo(5.4.0)undec-7-ene ",Sigma Aldrich,"0,025",,200,,6674-22-2,Solide,H290 H301 H314 H318 H412,,"Met. Corr. 1, Acute Tox. 3 (Oral), Skin Corr. 1A, Eye Dam. 1, Aquatic chronic Chronic 3",,"12,8",,"710 Pa à 37,7 °C",E
14077-5,tetrabutylammonium iodide,Aldrich,"0,2",,10,,311-28-4,Solide,H302,,Acute Tox. 4 (Oral),Non soumis,,,,
B8591-9,butan-2-ol,Sigma Aldrich,,1,111,,78-92-2,Liquide,H226 H319 H335 H336,,"Flam. Liq. 3, Eye Irrit. 2A, STOT SE 3, STOT SE 3",,,98 °C,"15,3 hPa à 20 °C",D/E
B2560-6,N-benzylethylamine,Aldrich,,"0,15",200,,103-67-3,Liquide,H314 H317 H334,,"Skin Corr. 1B, Resp. Sens. 1, Skin Sens. 1",Non soumis,,,,E
80240,4-picoline,Fluka,,1,220,,108-89-4,Liquide,H226 H302 H311 H315 H319 H332 H335,,"Flam. Liq. 3, Acute Tox. 3 (Derm.), Acute Tox. 4 (Oral), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",,,145 °C,580 Pa,D/E
18841-7,(1R)-(-)-myrtenol,Aldrich,"0,225",,0,,19894-97-4,Liquide,,,,Non soumis,,,,
360570,Pyridine 99%,Sigma Aldrich,,"0,5",30,,110-86-1,Liquide,H225 H302 H312 H315 H319 H332,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A",,"8,5",,"10 mmHg à 13,2 °C",D/E
86861,tetrabutylamonium bromide,Fluka,"0,5",,11,,1643-19-2,Solide,H302 H319 H412,,"Acute Tox. 4 (Oral), Eye Irrit. 2A, Aquatic chronic Chronic 3",Non soumis,"6,48",,,
27977-3,N-(4-nitrophenyl)piperazine,Aldrich,"0,005",,130,,6269-89-2,Solide,H302 H312 H315 H319 H332 H335,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
407704,N-methylmorpholine,Sigma Aldrich,,"0,1",110,,109-02-4,Liquide,H225 H302 H314 H318,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Skin Corr. 1B, Eye Dam. 1",,"10,6",,"22,5 mmHg à 20 °C",D/E
33709,Tetrahydrofuranne,Sigma Aldrich,,"7,5",500,,109-99-9,Liquide,EUH019 H225 H302 H319 H335 H351,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Eye Irrit. 2A, Carc. 2, STOT SE 3",,7,65 °C,170 hPa à 20 °C,D/E
D44405,"α,α′-Dibromo-o-xylene",Aldrich,"0,03",,111,,91-13-4,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,D/E
33209,acetic acid,Sigma Aldrich,,2,100,,64-19-7,Liquide,H226 H314 H318,,"Flam. Liq. 3, Skin Corr. 1A, Eye Dam. 1",4331,"2,4",117 °C,73 hPa à 50 °C,D/E
"83632,32",n-Pentane,VWR,,"17,5",211,,109-66-0,Liquide,EUH066 H225 H304 H336 H411,,"Flam. Liq. 2, STOT SE 3, Asp. Tox. 1, Aquatic chronic Chronic 2",,,35 °C,400 mmHg,D/E
"28559,32",Tétrahydrofuranne HiPerSolv CHROMANORM pour CLHP,VWR,,"24,5",500,,109-99-9,Liquide,EUH019 H225 H319 H335 H351,,"Flam. Liq. 2, Eye Irrit. 2A, Carc. 2, STOT SE 3",,7,66 °C,175 hPa,D/E
